2021-12-12 18:12:300 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 18:12:374 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //button[@type='submit']]
2021-12-12 18:12:472 INFO  BankManagerLoginPage :32 - Click Open account : [[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //button[normalize-space()='Open Account']]
2021-12-12 18:12:832 INFO  OpenAccountPage :35 - Select Customer : Bob Alexa[[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //select[@id='userSelect']]
2021-12-12 18:12:943 INFO  OpenAccountPage :40 - Select Currency : Pound[[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //select[@id='currency']]
2021-12-12 18:12:14 INFO  OpenAccountPage :45 - Click Process button : [[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //button[normalize-space()='Process']]
2021-12-12 19:12:676 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 19:12:673 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 19:12:50 INFO  BankManagerLoginPage :28 - Click Add customer : [[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 19:12:645 INFO  AddCustomerPage :36 - Enter First name : Bob[[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 19:12:772 INFO  AddCustomerPage :41 - Enter First name : Alexa[[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 19:12:899 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 19:12:06 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (d4baf8f910c5c7284ba73805fe000aa9)] -> xpath: //button[@type='submit']]
2021-12-12 19:12:15 INFO  AddCustomerPage :55 - Verify Alert Text : Customer added successfully with customer id :6
2021-12-12 19:12:110 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 19:12:639 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 19:12:676 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 19:12:835 INFO  BankManagerLoginPage :28 - Click Add customer : [[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 19:12:252 INFO  AddCustomerPage :36 - Enter First name : Bob[[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 19:12:378 INFO  AddCustomerPage :41 - Enter First name : Alexa[[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 19:12:544 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 19:12:638 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //button[@type='submit']]
2021-12-12 19:12:762 INFO  BankManagerLoginPage :32 - Click Open account : [[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //button[normalize-space()='Open Account']]
2021-12-12 19:12:679 INFO  OpenAccountPage :35 - Select Customer : Bob Alexa[[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //select[@id='userSelect']]
2021-12-12 19:12:781 INFO  OpenAccountPage :40 - Select Currency : Pound[[ChromeDriver: chrome on WINDOWS (c28bff675247e0ce099e5699c773526d)] -> xpath: //select[@id='currency']]
